,unique_id,ds,volume,trade_count,y,SMA_20_normalized,SMA_50_normalized,EMA_20_normalized,BBL_20_2.0_normalized,BBM_20_2.0_normalized,BBU_20_2.0_normalized,RSI_normalized,MACD_normalized,MACD_signal_normalized,MACD_hist_normalized
5521,BTC/USD,2023-08-21 02:00:00+00:00,0.00033,2.0,0.34171604537058947,0.34793303303777223,0.3455205633319152,0.34868686270090826,0.3502522456452045,0.34793303303777223,0.33886839506616523,0.46594538551626885,0.37872725326410356,0.3815609201080908,0.3687198888302618
5522,BTC/USD,2023-08-21 03:00:00+00:00,0.004656566,4.0,0.34153697533325844,0.34793388782851203,0.34557837973830025,0.34852114861439737,0.35025507958607366,0.34793388782851203,0.33886733469828934,0.46112647151782454,0.37565695505011776,0.3805881787401232,0.3620751616747823
5523,BTC/USD,2023-08-21 04:00:00+00:00,0.054741171,5.0,0.34045554918347104,0.3478464807164578,0.345624417530362,0.3482662145436769,0.34995331196029705,0.3478464807164578,0.33898725402470453,0.4317785365049711,0.37174616954789935,0.3789293854515542,0.35473433984522706
5524,BTC/USD,2023-08-21 05:00:00+00:00,0.000360035,3.0,0.34186083450381033,0.3477661584871421,0.34572391566796634,0.34817200765380135,0.349817107599759,0.3477661584871421,0.33896212757509087,0.47900951934233577,0.3706270360177822,0.3773503530562109,0.3555877891084012
5525,BTC/USD,2023-08-21 06:00:00+00:00,0.075933901,9.0,0.33933620546579873,0.3475500242406762,0.34575568335775847,0.3478416411764302,0.3492102469328518,0.3475500242406762,0.3391250313167116,0.41203875777628746,0.3663257753187711,0.37511860278474374,0.34860364477514083
5526,BTC/USD,2023-08-21 07:00:00+00:00,0.000572992,2.0,0.3388708729437029,0.34724565075288877,0.3458513162284356,0.34749755619286116,0.34860413383026934,0.34724565075288877,0.33911611230221855,0.4006381067106083,0.3624006475685055,0.37244937289775987,0.34392257062443377
5527,BTC/USD,2023-08-21 08:00:00+00:00,0.006833907,2.0,0.3400886383314702,0.34698377296464833,0.34600911488921643,0.34730448149626547,0.34836752627910933,0.34698377296464833,0.33883522133921784,0.443687033124598,0.3611199677454318,0.3700256154887158,0.3465491498533582
5528,BTC/USD,2023-08-21 09:00:00+00:00,0.178206574,10.0,0.33912178491736494,0.34677625279708,0.3460878840175636,0.347035917155407,0.34792716301789994,0.34677625279708,0.338855148696532,0.41762880808225006,0.35893387754716566,0.3675943628115555,0.34646894976040077
5529,BTC/USD,2023-08-21 10:00:00+00:00,0.026145292,5.0,0.3361556755931907,0.34653732473519205,0.34609704658475327,0.346504932677793,0.3469454192604292,0.34653732473519205,0.3393333859051789,0.34759767873175207,0.3533253240924555,0.3643864703224612,0.3381588287419384
5530,BTC/USD,2023-08-21 11:00:00+00:00,0.068095298,6.0,0.3395912532531652,0.3463966794792035,0.34616793448579175,0.3463580993951333,0.34669825295585005,0.3463966794792035,0.33929770485870775,0.4603279316169126,0.3538664683358273,0.3619420069736029,0.3463275942969554
5531,BTC/USD,2023-08-21 12:00:00+00:00,0.482452769,9.0,0.338226042541479,0.3462885615942723,0.3462359514336026,0.34609269357791717,0.34638070938915144,0.3462885615942723,0.339392593653751,0.4279416272385865,0.3526448382604432,0.3597113591569418,0.3486154411480736
5532,BTC/USD,2023-08-21 13:00:00+00:00,0.035924818,8.0,0.3429662733305797,0.34629385531423035,0.34640197911763887,0.3463128225005973,0.3463813924425682,0.34629385531423035,0.33940220368611507,0.5510170903317804,0.3584175262224586,0.3592266897798794,0.3672975791298491
5533,BTC/USD,2023-08-21 14:00:00+00:00,0.255171786,20.0,0.3422422028769933,0.34627519404491935,0.34654854082580383,0.34644168233570455,0.346372209165694,0.34627519404491935,0.3393748246496623,0.5325864186537932,0.3621208705818553,0.3596728444929206,0.37725748682038873
5534,BTC/USD,2023-08-21 15:00:00+00:00,0.347645032,15.0,0.3361978359354792,0.34590446323358237,0.34656052765880685,0.34597138525590043,0.34553985346993815,0.34590446323358237,0.3394542102597315,0.40560463131925084,0.35687451071811993,0.35884843384544657,0.363662314714217
5535,BTC/USD,2023-08-21 16:00:00+00:00,0.0686456,14.0,0.3388283917193167,0.3455058968824383,0.34659006754447047,0.34580129512194796,0.3455931216341885,0.3455058968824383,0.3386302582702558,0.46712036571718574,0.3565564896067917,0.35811729581264357,0.36466034070221576
5536,BTC/USD,2023-08-21 17:00:00+00:00,0.060703184,8.0,0.34002717158296675,0.34527635429596915,0.34646618831709397,0.3457638009162708,0.34561371726308737,0.34527635429596915,0.3381653970830379,0.4934437221539629,0.3581424896343114,0.35788950850947576,0.37004624213776477
5537,BTC/USD,2023-08-21 18:00:00+00:00,0.03169771,9.0,0.339344512746774,0.3449506001621799,0.3463032416115783,0.3456635940662333,0.3458167276841511,0.3449506001621799,0.3373390252088607,0.47920595030839247,0.35862551349194216,0.3578160422139551,0.3716974918284613
5538,BTC/USD,2023-08-21 19:00:00+00:00,0.01236709,6.0,0.3416339530339135,0.3447749110440477,0.3463076848321769,0.3457952264838893,0.34613206221404635,0.3447749110440477,0.3366959213394299,0.5302900054159777,0.36230920890105783,0.358586734994772,0.3807300754990433
